08:06.2,-04:03:51.16,m011,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:12.9,-04:26:40.06,m014,,,,,,,,,,,,,,,,,,,,,,,,,,,
30:02.7,-08:33:36.57,m022,,,,,,,,,,,,,,,,,,,,,,,,,,,
28:40.0,-09:19:50.00,m026,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:15.0,+00:08:14.80,m027,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00.0,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29:35.3,-09:58:46.33,m032,,,,,,,,,,,,,,,,,,,,,,,,,,,
27:50.3,-07:59:11.62,m034,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:10.8,-04:47:13.94,m038,,,,,,,,,,,,,,,,,,,,,,,,,,,
28:04.6,-07:42:44.29,m039,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:49.8,-04:45:10.65,m041,,,,,,,,,,,,,,,,,,,,,,,,,,,
29:51.7,-08:56:46.07,m043,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:56.8,-04:27:29.90,m057,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:52.9,+00:36:19.03,m062,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:42.3,-08:29:07.82,m075,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:56.3,+00:39:25.38,m138,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:57.8,-08:27:08.33,m139,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:03.5,-09:23:18.24,m158,,,,,,,,,,,,,,,,,,,,,,,,,,,
28:52.2,-07:42:09.78,m193,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:03.7,-04:39:59.12,m226,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,14:33.1,-00:26:23.18,,,,,,,,,,,—,,,,,,,,,,,,,,,,
28:09.0,-07:47:49.56,n256,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:42.3,-04:22:37.01,n258,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:15.0,-04:56:39.08,n263,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:06.5,+00:30:04.86,n271,,,,,,,,,,,,,,,,,,,,,,,,,,,
28:17.6,-09:23:12.38,n278,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:51.4,-08:23:18.47,n285,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,29:00.5,-09:02:52.96,,,,,,,,,,,—,,,,,,,,,,,,,,,,
29:58.6,-08:53:12.45,n326,,,,,,,,,,,,,,,,,,,,,,,,,,,
30:32.0,-10:03:22.14,n368,,,,,,,,,,,,,,,,,,,,,,,,,,,
