XSCJ0134-1318,23.538,-13.308,0.2069,13.23,,,,,,,,,,,,,,
XSCJ0205-2929,31.441,-29.492,0.3888,80.15,,,,,,,,,,,,,,
XSCJ0153-0005,28.275,-0.1,0.2364,32.55,,,,,,,,,,,,,,
XSCJ0321-2857,50.39,-28.963,0.0052,5.98,,,,,,,,,,,,,,
XSCJ0210-4628,32.503,-46.47,0.0644,9.44,,,,,,,,,,,,,,
XSCJ0223-4018,35.884,-40.316,0.2234,32.53,,,,,,,,,,,,,,
XSCJ0236-2755,39.069,-27.929,0.2237,47.16,,,,,,,,,,,,,,
XSCJ0234-1317,38.52,-13.291,0.1644,16,,,,,,,,,,,,,,
XSCJ0229-3320,37.494,-33.343,0.0777,6.77,,,,,,,,,,,,,,
XSCJ0241-0405,40.338,-4.084,0.1866,29.46,,,,,,,,,,,,,,
XSCJ0246-0030,41.607,-0.503,0.0231,5.73,,,,,,,,,,,,,,
XSCJ0248-2148,42.221,-21.805,0.3175,42.03,,,,,,,,,,,,,,
XSCJ0305-2811,46.341,-28.197,0.2577,21.41,,,,,,,,,,,,,,
XSCJ0309-2519,47.47,-25.327,0.0696,9.72,,,,,,,,,,,,,,
XSCJ0326-4012,51.64,-40.201,0.0633,23.09,,,,,,,,,,,,,,
XSCJ0321-4528,50.273,-45.471,0.0731,21.62,,,,,,,,,,,,,,
XSCJ0326-5455,51.637,-54.929,0.0835,14.13,,,,,,,,,,,,,,
XSCJ0338-5414,54.501,-54.245,0.0603,19.61,,,,,,,,,,,,,,
XSCJ0335-0157,53.808,-1.957,0.134,22.75,,,,,,,,,,,,,,
XSCJ0342-2241,55.598,-22.687,0.2395,26.4,,,,,,,,,,,,,,
XSCJ0403-5408,60.923,-54.15,0.0436,17.68,,,,,,,,,,,,,,
XSCJ0344-0249,56.076,-2.826,0.0355,4.55,,,,,,,,,,,,,,
EFLEX,II,superclusters,15,Table,,,,,Construction,of,,,,,,,,
XSCJ0412-0338,63.067,-3.648,0.1381,13.93,,,,,,,,,,,,,,
XSCJ0419-1328,64.792,-13.481,0.2962,71.9,,,,,,,,,,,,,,
XSCJ0428+0039,67.223,0.652,0.0138,6.84,,,,,,,,,,,,,,
XSCJ0438-1429,69.743,-14.493,0.0334,8.83,,,,,,,,,,,,,,
XSCJ0441-0035,70.474,-0.593,0.2784,55.82,,,,,,,,,,,,,,
XSCJ0445-2106,71.324,-21.105,0.0689,16.47,,,,,,,,,,,,,,
XSCJ0502-0916,75.719,-9.282,0.2284,82.43,,,,,,,,,,,,,,
XSCJ0504-0032,76.08,-0.537,0.1245,18.55,,,,,,,,,,,,,,
XSCJ0516-4610,79.222,-46.176,0.1961,28.67,,,,,,,,,,,,,,
XSCJ0526-3009,81.556,-30.159,0.331,64.83,,,,,,,,,,,,,,
XSCJ0524-4124,81.165,-41.416,0.0758,5.64,,,,,,,,,,,,,,
XSCJ0544-2722,86.222,-27.371,0.0408,21.79,,,,,,,,,,,,,,
XSCJ0535-3842,83.957,-38.705,0.2906,95.54,,,,,,,,,,,,,,
XSCJ0554-3837,88.629,-38.633,0.0463,11.92,,,,,,,,,,,,,,
XSCJ0549-2111,87.402,-21.192,0.0958,21.88,,,,,,,,,,,,,,
XSCJ0624-5319,96.015,-53.328,0.052,26.52,,,,,,,,,,,,,,
XSCJ0607-5559,91.848,-55.985,0.0362,10.07,,,,,,,,,,,,,,
XSCJ0609-3454,92.256,-34.914,0.1382,12.71,,,,,,,,,,,,,,
XSCJ0623-4937,95.974,-49.617,0.1194,23.78,,,,,,,,,,,,,,
XSCJ0625-3717,96.256,-37.293,0.0344,6.12,,,,,,,,,,,,,,
XSCJ0850-0535,132.536,-5.595,0.1842,36.14,,,,,,,,,,,,,,
XSCJ0913-1044,138.279,-10.749,0.0541,6.57,,,,,,,,,,,,,,
XSCJ0916-0855,139.161,-8.929,0.2256,18.83,,,,,,,,,,,,,,
XSCJ0933-1704,143.417,-17.077,0.007,4.1,,,,,,,,,,,,,,
XSCJ1002-8242,150.543,-82.701,0.1994,56.54,,,,,,,,,,,,,,
XSCJ0929-1318,142.263,-13.3,0.1405,10.58,,,,,,,,,,,,,,
XSCJ0947-2536,146.8,-25.614,0.1413,32.69,,,,,,,,,,,,,,
XSCJ0952-1049,148.198,-10.822,0.165,56.87,,,,,,,,,,,,,,
