['0.551030', '204.724234', '5.726916', '18459', '22.039073']
['0.526214', '185.514837', '44.972899', '43940', '23.551461']
['0.514196', '181.411636', '30.266443', '33052', '14.165667']
['0.546489', '202.349371', '8.815826', '28185', '21.514200']
['0.480044', '206.302333', '53.858225', '43126', '14.722250']
['0.621514', '173.876465', '28.905190', '33212', '28.979678']
['0.477804', '133.271178', '8.247123', '23366', '27.704618']
['0.455484', '221.445414', '53.260493', '42032', '23.800110']
['0.572892', '174.856698', '17.083158', '37176', '27.498600']
['0.495300', '134.507897', '26.067027', '29600', '19.067056']
['0.504226', '138.565449', '0.987223', '1571', '19.517190']
['0.468148', '224.121612', '21.799884', '32208', '24.081663']
['0.499783', '226.310246', '11.631883', '25528', '20.995357']
['0.585953', '200.582840', '13.417970', '24636', '30.578784']
['0.586650', '167.681662', '48.457617', '40651', '27.970315']
['0.527365', '238.328990', '28.317655', '13365', '26.719432']
['0.521035', '200.873962', '17.246769', '29556', '27.571850']
['0.543018', '215.584870', '4.436520', '15336', '27.425494']
['0.460411', '167.431500', '7.201866', '24669', '23.257703']
['0.581195', '162.282955', '21.661072', '35815', '27.371668']
['0.554619', '128.525732', '46.429706', '20243', '26.136901']
['0.584447', '178.799119', '8.647699', '22722', '29.926458']
['0.539031', '195.902402', '18.932851', '36603', '28.076115']
['0.485207', '127.400629', '7.145720', '17688', '23.020019']
['0.634818', '171.418024', '22.261026', '35381', '35.089596']
['0.516841', '250.108275', '40.069514', '39619', '24.441527']
['0.509182', '210.924714', '40.050491', '37747', '28.968311']
['0.500921', '238.696962', '4.707480', '16929', '23.593668']
['0.468773', '235.909337', '22.425812', '5910', '25.096376']
['0.599395', '149.971781', '14.652667', '27972', '18.178382']
['0.475243', '233.263625', '33.083719', '18515', '27.487545']
['0.495856', '221.818702', '28.976641', '4792', '22.429814']
['0.543795', '179.999792', '4.078324', '16538', '27.827018']
['0.568904', '209.241129', '34.870787', '4506', '23.393511']
['0.466213', '155.387251', '44.570503', '14380', '21.639011']
['0.635638', '179.766684', '5.994667', '18399', '43.975730']
['0.481410', '173.313643', '50.643270', '40332', '22.749824']
['0.446451', '244.177047', '38.226655', '21608', '26.258891']
['0.509408', '239.524497', '10.581956', '18331', '23.259399']
['0.472068', '242.309251', '22.593451', '5422', '31.556550']
['0.495854', '217.982977', '55.949235', '41896', '18.386784']
['0.601652', '206.034722', '39.505916', '13178', '26.020484']
['0.522698', '221.052636', '35.184410', '13200', '24.298960']
['0.464490', '199.025837', '46.741129', '42750', '21.782693']
['0.513199', '226.017758', '28.009907', '5004', '22.320148']
['0.546126', '189.333622', '18.811882', '37408', '18.534384']
['0.508943', '216.423055', '55.627631', '41860', '22.492700']
['0.488391', '218.616293', '34.772031', '3763', '29.088621']
['0.533842', '156.663147', '18.116162', '29628', '23.602679']
['0.507562', '228.874189', '21.213353', '5820', '27.635708']
['0.619872', '138.676305', '9.857415', '23566', '35.160619']
['0.456033', '239.096377', '6.242298', '17903', '28.890914']
['0.583767', '198.621105', '54.731889', '41473', '22.388345']
['0.632177', '256.779132', '27.717283', '19788', '38.108181']
['0.544757', '203.455742', '35.668299', '4458', '30.713158']
['0.531480', '237.385564', '41.905653', '41935', '22.984517']
['0.504236', '130.663165', '52.434736', '20057', '23.052990']
['0.494564', '181.363118', '47.535147', '42643', '15.741599']
['0.464022', '177.350800', '23.623966', '34870', '29.424116']
['0.477262', '156.407876', '16.862503', '26749', '26.800921']
['0.616188', '199.411672', '25.643496', '34577', '26.796702']
['0.509653', '233.076432', '10.940248', '25705', '38.349596']
['0.492727', '117.485447', '27.751266', '9410', '31.048183']
['0.531261', '206.228778', '19.608492', '37087', '18.684933']
['0.456119', '217.546822', '3.814806', '15955', '25.351517']
['0.452490', '243.759610', '35.547098', '19616', '25.229253']
['0.520436', '178.609734', '32.840544', '14314', '33.016669']
['0.599091', '208.349206', '44.803217', '42762', '26.844973']
['0.496339', '222.981706', '8.275164', '25080', '24.711601']
['0.514141', '140.078967', '-0.918181', '2710', '22.947031']
['0.546942', '230.004968', '21.700387', '5839', '23.681992']
['0.492607', '237.795978', '16.563667', '6198', '23.995236']
['0.484182', '124.193846', '31.697192', '9432', '23.642180']
['0.446579', '246.053700', '28.963181', '19368', '22.865910']
['0.499285', '180.585380', '46.250471', '43294', '24.763598']
['0.510536', '129.707006', '44.603372', '19996', '20.009897']
['0.499482', '184.446752', '26.254067', '37592', '23.593295']
['0.587579', '133.750885', '17.955904', '22169', '39.761589']
['0.544441', '219.537536', '-0.330623', '6549', '19.104408']
['0.535084', '127.533749', '24.711588', '10188', '16.191267']
['0.520079', '232.574643', '17.342339', '6156', '17.328627']
['0.483544', '159.199654', '-0.513032', '1932', '22.705563']
['0.603639', '127.236793', '45.668826', '20241', '40.016271']
['0.501676', '159.384879', '15.335445', '27857', '22.751296']
['0.554080', '140.296180', '28.447439', '30454', '26.034542']
['0.520300', '222.336312', '12.211986', '25686', '25.015841']
['0.523726', '160.900772', '33.230788', '30796', '25.638281']
['0.509644', '175.106750', '9.684207', '22943', '23.092647']
['0.589255', '190.378163', '25.322565', '34489', '23.801044']
['0.487779', '203.283226', '2.597131', '7177', '24.969170']
['0.525928', '180.139586', '43.595988', '43798', '23.226658']
['0.558599', '161.133100', '19.505234', '35024', '20.901898']
['0.474639', '175.375578', '16.078198', '30082', '23.242104']
['0.507639', '216.574046', '11.653980', '24943', '26.113192']
['0.541705', '173.944301', '8.502279', '22713', '29.396496']
['0.465235', '151.246235', '22.157282', '34756', '18.739943']
['0.590245', '184.404452', '25.266081', '36204', '29.989662']
['0.524783', '171.071830', '27.508530', '37576', '16.049925']
['0.519850', '176.316359', '46.937767', '42607', '15.125581']
['0.512260', '161.175857', '7.798261', '22210', '24.459413']
['0.567098', '240.751902', '24.980208', '5173', '19.298619']
['0.500253', '216.933790', '10.521410', '24859', '18.960454']
['0.648597', '191.529783', '25.190829', '34492', '34.768831']
['0.522586', '152.867854', '21.747093', '34939', '14.699125']
['0.509710', '182.383444', '5.778406', '17056', '21.576944']
['0.489353', '200.264755', '15.246265', '26212', '24.974859']
['0.478150', '240.092279', '11.177891', '18246', '31.475563']
['0.616471', '226.253953', '44.000771', '44384', '32.747125']
['0.473184', '127.675722', '19.689122', '10466', '18.507490']
['0.516263', '198.987499', '7.202115', '22517', '22.067055']
['0.496113', '197.820771', '-0.156034', '6349', '15.733357']
['0.590375', '209.888326', '16.178033', '26984', '25.593522']
['0.504167', '250.214077', '36.902013', '21555', '19.126492']
['0.519957', '166.120551', '17.872397', '37206', '25.947322']
['0.490641', '238.859367', '16.155065', '6084', '22.958662']
['0.475640', '157.259257', '-1.837937', '2942', '22.377402']
['0.516831', '209.404104', '47.976875', '40748', '20.526113']
['0.509761', '134.267769', '19.602719', '21169', '19.538852']
['0.547010', '217.677858', '8.049315', '22554', '27.672210']
['0.476413', '222.705385', '22.735403', '32373', '34.415372']
['0.480422', '194.427427', '23.083099', '35415', '18.081709']
['0.533568', '122.416885', '49.034472', '204', '25.113612']
['0.533841', '218.818911', '34.764854', '3923', '18.120592']
['0.546232', '219.200596', '34.326710', '3765', '23.438252']
['0.560418', '193.996530', '24.179910', '34420', '25.639033']
['0.523001', '201.921224', '-1.124548', '7783', '18.756960']
['0.497365', '132.541296', '28.353551', '21210', '26.371996']
['0.552628', '202.756142', '9.929157', '25252', '24.175740']
['0.528418', '159.311028', '19.780459', '35554', '25.860893']
['0.587450', '131.555607', '14.627599', '26345', '31.373135']
['0.457470', '145.155250', '15.456913', '27587', '33.766258']
['0.483018', '135.547080', '22.374720', '32748', '25.519142']
['0.525039', '153.020356', '39.614920', '12344', '24.437092']
['0.508339', '174.445141', '45.935864', '42555', '25.354852']
['0.597027', '144.061576', '36.557387', '11958', '33.364592']
['0.532785', '153.742143', '40.821538', '12397', '23.521672']
['0.490181', '150.818066', '45.119097', '11532', '17.301302']
['0.455932', '238.601299', '19.091062', '5575', '22.365376']
['0.523865', '141.145413', '-2.104289', '2818', '10.051285']
['0.578096', '149.414247', '5.527054', '17126', '25.553147']
['0.457337', '138.779105', '3.942377', '3181', '31.219366']
['0.551050', '174.273156', '40.230772', '13090', '25.090930']
['0.584010', '152.309198', '-0.561959', '1823', '27.903276']
['0.574233', '131.176236', '44.676996', '20252', '25.412579']
['0.477167', '132.806791', '20.200735', '21134', '26.123724']
['0.529380', '220.633505', '-0.417106', '6515', '28.352629']
['0.479390', '195.385277', '22.656423', '37613', '18.868738']
['0.511383', '128.704472', '46.269847', '20237', '22.366095']
['0.529495', '192.932127', '36.754517', '4229', '29.238552']
['0.614545', '207.769980', '3.372889', '14515', '29.908744']
['0.609415', '203.991137', '28.272512', '31804', '27.063936']
