['0.612233', '122.029371', '52.620837', '114', '70.616806']
['0.515853', '198.981017', '-1.357282', '1607', '40.490944']
['0.515514', '128.743768', '5.357358', '4347', '75.281686']
['0.571306', '209.509813', '7.086923', '5770', '57.628278']
['0.507010', '218.390860', '24.612815', '7856', '50.657009']
['0.638623', '164.807789', '3.129060', '3862', '102.681636']
['0.516315', '123.023451', '23.036435', '2701', '81.980551']
['0.474179', '221.531722', '0.319562', '1794', '55.956457']
['0.502077', '144.384465', '-0.994291', '488', '46.284010']
['0.469245', '219.363115', '32.357606', '1269', '50.117398']
['0.536584', '168.529451', '11.532584', '5843', '64.051100']
['0.577898', '139.118816', '39.470745', '3113', '66.609509']
['0.545816', '196.411949', '42.828015', '8733', '66.052601']
['0.491941', '129.664617', '9.634512', '6655', '59.838204']
['0.531973', '223.414755', '11.614090', '6230', '68.133107']
['0.609117', '216.607723', '28.790064', '7791', '71.671764']
['0.506770', '245.406499', '17.555964', '2206', '57.418403']
['0.474962', '119.311354', '33.634370', '374', '65.364891']
['0.503567', '200.529668', '50.269009', '10571', '57.221046']
['0.471734', '253.278498', '40.106817', '5534', '60.104839']
['0.545359', '183.491201', '7.754981', '6076', '61.581464']
['0.502543', '239.798628', '29.060018', '4582', '50.023755']
['0.527760', '131.650612', '48.714666', '5101', '73.147215']
['0.565129', '143.486591', '24.517397', '8038', '63.170860']
['0.600318', '160.900401', '16.668893', '6500', '82.133492']
['0.543050', '178.819716', '7.497935', '4553', '61.344253']
['0.510940', '234.006029', '20.038145', '1547', '68.731930']
['0.559585', '149.360156', '3.605766', '3958', '53.812921']
['0.606588', '165.545516', '36.488708', '3445', '76.270148']
['0.476018', '223.826510', '5.692090', '4360', '55.798842']
['0.473620', '213.004595', '12.766579', '6208', '56.833054']
['0.535460', '209.609628', '16.843415', '6479', '64.017022']
['0.494696', '179.634037', '49.423616', '10769', '54.556822']
['0.524557', '175.742208', '13.308701', '5978', '51.004380']
['0.601998', '226.880192', '19.627931', '1594', '80.456732']
['0.568523', '119.925953', '40.673957', '18', '54.710564']
['0.474632', '227.284337', '24.587980', '7812', '60.796311']
['0.569129', '164.958352', '25.786342', '8204', '58.245684']
['0.535291', '235.922239', '9.335199', '5628', '57.557034']
['0.596987', '157.910597', '1.705369', '3577', '58.243829']
['0.589804', '208.920663', '1.965274', '1752', '67.891481']
['0.538861', '195.802721', '22.727299', '8455', '62.228958']
['0.547843', '180.589605', '49.735434', '10560', '64.445187']
['0.536737', '229.689552', '18.938646', '1593', '53.405016']
['0.599085', '235.668144', '28.297593', '3373', '82.142195']
['0.546806', '156.670082', '10.537372', '5879', '60.112837']
['0.478957', '189.956900', '20.286366', '8347', '65.336513']
['0.505602', '160.970954', '17.200285', '6596', '52.080085']
['0.521202', '117.115184', '20.080277', '2651', '55.140609']
['0.532902', '157.233277', '16.561247', '6589', '63.836870']
['0.537620', '165.472974', '35.215312', '3434', '64.105671']
['0.540632', '128.366871', '16.157044', '2884', '54.491362']
['0.489123', '176.534578', '11.130812', '5825', '58.179226']
['0.489893', '207.447716', '34.915000', '1332', '54.375324']
['0.459810', '206.341960', '24.518807', '7916', '67.389930']
['0.563874', '227.455361', '33.033001', '3322', '58.519118']
['0.538445', '148.501412', '14.119750', '6544', '56.124767']
['0.493853', '122.622580', '20.364312', '2765', '52.632703']
['0.613301', '137.770871', '16.983740', '6519', '82.874143']
['0.584099', '246.682371', '14.246435', '2218', '73.214037']
['0.485221', '233.038686', '11.260740', '4527', '60.078056']
['0.634015', '257.560160', '26.812784', '4679', '74.693417']
['0.521800', '134.768669', '23.035191', '7983', '48.550752']
['0.535037', '188.041141', '29.325048', '7894', '60.201056']
['0.592371', '173.036595', '37.202520', '3446', '73.057146']
['0.559215', '238.450711', '6.724488', '4460', '56.837805']
['0.559558', '116.591149', '19.472958', '2712', '52.099389']
['0.486092', '130.450389', '2.163757', '3589', '50.858183']
['0.572473', '156.758306', '18.505649', '7573', '54.358757']
['0.554269', '151.024724', '34.006594', '7626', '65.902618']
['0.496489', '126.052251', '51.718258', '50', '63.730113']
['0.534795', '206.608563', '26.903128', '7941', '69.632639']
['0.516380', '168.974608', '30.737760', '8105', '42.046738']
['0.505759', '212.478112', '7.777475', '6126', '53.693382']
['0.534991', '184.098430', '44.005046', '11403', '50.190432']
['0.531843', '235.682114', '8.405552', '5621', '45.311732']
['0.563061', '190.738502', '54.731974', '10922', '62.318587']
['0.452926', '190.303942', '53.677721', '10829', '66.688308']
['0.543681', '200.436670', '33.895359', '1429', '50.852114']
['0.462010', '139.163402', '20.876616', '8018', '66.867612']
['0.586215', '140.003912', '9.484830', '5919', '73.790631']
['0.463806', '201.634078', '21.892346', '8456', '62.540107']
['0.522970', '168.883784', '11.925464', '6012', '45.933593']
['0.477693', '121.663810', '28.957032', '2588', '73.295535']
['0.567198', '166.624434', '34.004607', '7523', '80.055713']
['0.554980', '160.155044', '6.705132', '4326', '53.356731']
['0.491542', '159.971918', '12.192030', '6251', '52.297225']
['0.487957', '129.628589', '20.722293', '2990', '52.947292']
['0.605233', '170.716486', '17.268587', '8669', '73.893242']
['0.506446', '217.648260', '-0.984155', '2125', '57.496433']
['0.478813', '190.881275', '17.063591', '8694', '53.011904']
['0.522536', '147.379553', '33.225610', '7592', '60.054232']
['0.525059', '203.206040', '25.793654', '8156', '48.842038']
['0.587486', '257.612344', '26.232949', '4693', '78.243602']
['0.610143', '159.795558', '6.633064', '4327', '74.877296']
['0.473232', '226.443461', '51.828865', '10991', '68.387235']
['0.560743', '203.628472', '53.631241', '10888', '71.741633']
['0.613222', '187.033382', '13.933129', '5988', '77.352547']
['0.542630', '162.972519', '12.531076', '6253', '42.989951']
['0.502297', '190.699636', '-0.777101', '434', '61.234660']
['0.516176', '200.456741', '32.680935', '1368', '55.751648']
['0.484286', '260.496317', '35.957110', '4837', '44.803632']
['0.488173', '146.377320', '8.333127', '5887', '48.642983']
['0.549335', '227.615676', '3.185241', '3896', '64.888512']
['0.457732', '225.503244', '12.712026', '6451', '65.158949']
['0.540683', '220.735534', '19.519070', '8588', '48.069534']
['0.597128', '223.107559', '18.770957', '8478', '79.250523']
['0.512067', '182.047147', '16.095527', '8663', '45.886273']
['0.552994', '170.320509', '13.264160', '5982', '47.177191']
['0.521303', '166.422935', '32.846152', '7704', '44.705221']
['0.521725', '117.205960', '37.646396', '324', '55.673697']
['0.546505', '233.601938', '5.331525', '4455', '77.937044']
['0.496822', '175.802330', '33.988142', '3524', '69.695737']
['0.531290', '149.347657', '11.025270', '5905', '54.462871']
['0.520276', '254.163017', '25.686108', '2376', '54.202697']
['0.547373', '132.464670', '42.729359', '3055', '55.553824']
['0.577124', '116.105332', '27.693968', '2522', '56.787659']
['0.540860', '124.723169', '15.140281', '2841', '55.546584']
['0.554759', '122.904136', '12.503350', '2956', '61.092546']
['0.478044', '149.116107', '33.596673', '7588', '54.478918']
['0.567962', '153.668050', '24.848439', '8010', '66.486816']
['0.535529', '254.558644', '41.559855', '12140', '49.124095']
['0.596162', '182.968755', '5.593713', '3989', '73.258748']
['0.514724', '201.508389', '12.469377', '6002', '61.471350']
['0.577103', '205.241432', '23.917512', '8526', '62.972690']
['0.535889', '164.882295', '31.186847', '7837', '55.061898']
['0.575098', '245.241923', '37.313261', '5571', '60.171111']
['0.545056', '177.644988', '44.128136', '11402', '66.923955']
['0.502477', '204.018495', '9.711445', '6130', '52.225414']
['0.497529', '226.126075', '2.632662', '1777', '56.423229']
['0.616559', '186.333017', '12.935776', '5974', '61.253252']
['0.563551', '164.172394', '14.589704', '5950', '59.357844']
['0.554098', '136.841733', '37.884839', '3129', '46.059774']
['0.606932', '247.037049', '14.972399', '2233', '77.119092']
['0.494254', '250.214206', '29.626819', '5539', '68.800090']
['0.481348', '211.252498', '19.585116', '8606', '51.940829']
['0.651911', '216.285326', '18.810650', '8426', '84.468853']
['0.556077', '212.715386', '4.777412', '3889', '62.153108']
['0.514393', '116.670688', '31.159521', '2573', '44.946986']
['0.501296', '193.661682', '38.580383', '1285', '62.560679']
['0.453251', '218.080402', '35.077160', '3362', '60.396409']
['0.527182', '159.258369', '-0.615707', '1044', '59.681941']
['0.537808', '226.931460', '19.453235', '1582', '57.828087']
['0.549837', '131.374685', '10.102219', '6537', '66.716019']
['0.520004', '225.801652', '5.580015', '4474', '62.891793']
['0.573347', '155.211684', '5.709091', '3948', '62.202075']
['0.561786', '183.233902', '19.713723', '8568', '57.375537']
['0.483366', '214.738733', '22.493483', '7962', '55.957937']
['0.659659', '235.557820', '11.759092', '4514', '88.650803']
['0.548240', '197.994908', '29.538543', '7877', '74.515362']
['0.542859', '215.366879', '18.827530', '7535', '53.971059']
['0.545611', '143.236680', '9.799325', '5885', '57.548929']
['0.497365', '188.001719', '7.139215', '4575', '53.650157']
['0.556027', '151.428252', '1.931607', '3832', '63.503118']
['0.501372', '202.495327', '12.115963', '6066', '49.118437']
['0.550964', '224.429505', '42.324399', '10565', '62.906259']
['0.511495', '239.493754', '22.872951', '1496', '46.940942']
['0.496728', '151.173455', '27.363954', '7839', '64.340504']
['0.623216', '122.212461', '13.238212', '2827', '64.255764']
['0.511823', '162.210919', '39.083350', '3471', '53.251419']
['0.511000', '230.473033', '3.274115', '3568', '42.253059']
['0.504851', '213.734736', '26.235245', '7925', '54.621875']
['0.590792', '118.430339', '19.999668', '2705', '64.880203']
['0.521776', '220.841961', '33.055474', '1275', '66.232389']
['0.537951', '119.692722', '43.215422', '38', '60.018619']
['0.552032', '138.418818', '19.124043', '8192', '52.809646']
['0.508780', '238.197565', '31.626899', '4703', '58.582731']
['0.528556', '123.505515', '1.676070', '3633', '50.157415']
['0.471420', '192.309532', '3.222802', '4190', '64.289632']
['0.484838', '115.169821', '27.767002', '2557', '53.181066']
['0.483972', '213.469501', '45.600668', '10546', '59.280199']
['0.454223', '159.218045', '3.179903', '3934', '63.251012']
['0.537744', '188.209977', '51.221067', '10250', '45.561122']
['0.565189', '208.867199', '47.366753', '10545', '78.980273']
['0.521236', '178.811849', '21.313505', '8410', '59.207427']
['0.553493', '204.012472', '27.599071', '7857', '62.826033']
['0.583129', '168.642762', '12.030841', '6011', '72.889647']
['0.563790', '187.921628', '7.933346', '6097', '60.949002']
['0.497813', '129.709647', '25.889681', '5467', '47.353648']
['0.541137', '179.812389', '30.150071', '8055', '69.224374']
['0.553225', '256.011087', '23.069391', '2381', '43.164869']
['0.473350', '158.801606', '43.712744', '3219', '46.359204']
['0.462565', '137.629373', '39.955656', '3064', '72.149375']
['0.577206', '214.397688', '14.681728', '6467', '78.017196']
['0.527878', '198.810820', '45.481011', '11166', '55.407011']
['0.501970', '148.492934', '47.306896', '7171', '57.587728']
['0.540870', '130.551619', '33.356599', '5440', '47.022771']
['0.558288', '244.527992', '40.838453', '11560', '62.518447']
['0.563931', '212.351857', '3.969319', '3887', '57.641927']
['0.547834', '199.329360', '38.143425', '1316', '59.605250']
['0.544424', '154.274988', '42.393095', '3221', '50.146313']
['0.551322', '233.319692', '7.206663', '5615', '48.845216']
['0.525240', '178.212945', '4.225147', '4188', '52.319356']
['0.498773', '130.452985', '26.564923', '2723', '44.271898']
['0.473108', '176.709748', '29.452316', '8178', '68.116866']
['0.456943', '203.956391', '3.393840', '4200', '47.035959']
['0.470444', '167.439501', '12.504982', '5916', '43.095066']
['0.473117', '175.128339', '7.622762', '6092', '63.574225']
['0.536321', '258.030404', '25.391758', '4630', '55.442294']
['0.571804', '191.650983', '5.250403', '4192', '73.511475']
['0.502940', '186.872399', '20.734274', '8411', '64.508845']
['0.596893', '131.104644', '5.445663', '4354', '74.365366']
['0.490772', '227.301647', '21.512024', '1516', '56.068400']
['0.590744', '150.652956', '23.187079', '8201', '73.849288']
['0.569999', '240.720990', '29.201717', '4729', '63.226534']
['0.576084', '193.231816', '10.280665', '6128', '64.488719']
['0.518662', '243.057143', '30.195881', '4741', '53.259543']
['0.568390', '258.654135', '31.732259', '4658', '57.115671']
['0.586211', '143.076938', '24.976167', '8098', '65.418386']
['0.544596', '180.829707', '2.579606', '3818', '65.848768']
['0.566889', '190.564079', '4.377991', '4230', '50.946315']
['0.579661', '131.935383', '32.750359', '5445', '76.556972']
['0.509120', '150.917284', '16.002631', '6402', '60.705663']
['0.589848', '149.229733', '3.034399', '3986', '74.881709']
['0.549616', '220.964746', '18.721013', '6368', '60.185767']
['0.522784', '184.700106', '17.969786', '8683', '68.575759']
['0.505066', '237.033054', '25.021732', '1478', '63.855994']
['0.524237', '215.354288', '12.340065', '6223', '55.481693']
['0.612790', '194.359767', '1.196065', '1796', '78.590548']
['0.497471', '139.975445', '19.560425', '8115', '77.823866']
['0.564937', '193.500538', '1.017268', '526', '47.814145']
['0.579343', '162.085303', '15.448686', '6260', '46.333557']
['0.474601', '189.857090', '41.170889', '1239', '60.079074']
['0.595541', '227.752983', '0.753736', '1672', '72.561812']
['0.610703', '167.924533', '2.818854', '3882', '67.837019']
['0.478162', '239.463376', '21.162620', '1497', '47.440987']
['0.554975', '165.066978', '37.358614', '3457', '55.624312']
['0.512823', '192.763269', '7.676930', '6098', '57.998294']
['0.532573', '206.258920', '24.184238', '8528', '51.591025']
['0.545068', '121.314606', '28.798978', '2594', '53.520565']
['0.532888', '184.756711', '31.554395', '7762', '51.703988']
['0.530961', '197.453574', '33.943422', '1364', '48.181853']
['0.571912', '146.132044', '19.849524', '8282', '66.054034']
['0.534461', '211.147376', '20.623133', '8381', '56.044789']
['0.564202', '245.764775', '30.458728', '4798', '50.103302']
['0.518160', '130.299951', '24.256951', '2764', '55.978538']
['0.551381', '176.595113', '11.218919', '5873', '69.147522']
['0.587411', '184.673589', '40.592968', '8761', '58.781632']
['0.545318', '146.250040', '28.905168', '7693', '52.559639']
['0.521121', '219.241573', '22.433298', '7965', '54.070480']
['0.655808', '155.157723', '17.777159', '6522', '92.245314']
['0.482115', '213.311737', '19.986734', '8460', '46.452632']
['0.523990', '205.492469', '36.635358', '1317', '61.081087']
['0.471880', '231.237513', '44.770309', '10971', '54.685604']
['0.500947', '213.647507', '43.049052', '11359', '54.083801']
['0.594480', '133.480333', '37.826236', '3056', '49.980491']
['0.489526', '118.873414', '47.265269', '82', '60.143119']
