['0.617116', '236.486202', '45.598713', '11026', '76.647477']
['0.547764', '174.428566', '31.407232', '7521', '90.038138']
['0.550984', '226.872203', '54.142169', '11060', '51.571634']
['0.566000', '148.203439', '37.090341', '3240', '60.930437']
['0.595820', '150.290800', '-1.717466', '1001', '50.739394']
['0.544171', '170.072375', '3.971096', '3987', '36.515207']
['0.531010', '167.546977', '5.202947', '4000', '58.993359']
['0.557383', '247.521507', '45.666969', '9660', '46.277870']
['0.563626', '229.935011', '9.187534', '6039', '53.048532']
['0.556212', '147.715879', '17.343198', '6410', '61.163006']
['0.589488', '129.156062', '42.949566', '3076', '76.675770']
['0.523345', '156.894633', '12.453092', '6247', '39.052657']
['0.510663', '223.798976', '9.204633', '6028', '54.091572']
['0.575490', '177.118267', '17.691570', '8665', '66.332135']
['0.537504', '134.763106', '2.025536', '1018', '48.027778']
['0.624208', '142.462292', '28.175776', '7632', '96.327339']
['0.553195', '170.074256', '29.406139', '8035', '55.727373']
['0.455471', '249.447399', '26.911835', '2369', '46.201028']
['0.516415', '147.845871', '22.483000', '8207', '65.333457']
['0.538323', '238.898257', '27.058406', '3386', '68.123877']
['0.613690', '239.346335', '35.084679', '4762', '121.102203']
['0.544275', '185.744261', '0.811235', '516', '44.693243']
['0.476558', '236.573292', '38.614197', '4735', '62.791328']
['0.576302', '175.344402', '27.764533', '8227', '60.169191']
['0.607849', '133.229226', '15.092453', '6326', '65.711295']
['0.622031', '173.965227', '11.355831', '5966', '58.516896']
['0.582419', '154.977096', '32.884216', '7611', '54.233990']
['0.663577', '136.606751', '22.242410', '7995', '88.865611']
['0.501241', '143.966939', '43.746700', '3083', '44.884673']
['0.512745', '146.197988', '44.851974', '3108', '65.378917']
['0.546512', '117.851033', '49.018583', '113', '101.895021']
['0.499442', '239.974322', '25.920847', '3382', '44.102274']
['0.517407', '143.614369', '12.730027', '6550', '48.557983']
['0.604603', '177.747489', '9.541555', '5805', '81.523915']
['0.474246', '234.327403', '32.473633', '4726', '59.149962']
['0.500354', '180.420668', '5.258260', '4554', '55.996694']
['0.562377', '241.814459', '4.691759', '4175', '29.202201']
['0.452288', '243.443479', '18.932759', '1500', '67.049645']
['0.539674', '181.118346', '41.577296', '8784', '44.209985']
['0.480594', '190.475566', '14.216008', '6065', '64.511167']
['0.480538', '242.522280', '10.042690', '5667', '47.797342']
['0.507674', '184.614948', '8.674739', '5790', '57.745615']
['0.531314', '225.742702', '41.124243', '10531', '39.454943']
['0.613555', '187.812985', '49.652500', '11086', '86.500943']
['0.567788', '153.740117', '12.819822', '6242', '74.724422']
['0.578406', '228.733879', '46.105974', '10970', '62.024770']
['0.524773', '234.297370', '35.620253', '4713', '52.288847']
['0.464923', '185.361161', '25.618545', '8258', '76.476178']
['0.482295', '239.955055', '14.610614', '4257', '58.620809']
['0.578867', '183.088513', '50.093094', '10524', '52.732402']
['0.488504', '168.313978', '-0.949972', '1040', '41.201043']
['0.473294', '216.928097', '54.546380', '11253', '70.344768']
['0.486204', '127.266956', '42.943829', '338', '68.429436']
['0.522385', '232.474109', '42.611335', '10942', '44.876240']
['0.464798', '205.811090', '-0.645336', '1678', '43.441355']
['0.554556', '177.602014', '47.610931', '11078', '56.373416']
['0.601402', '133.098495', '8.614953', '5902', '61.744557']
['0.552066', '165.387260', '43.494802', '3261', '57.690204']
['0.500154', '190.006007', '5.517516', '4223', '36.279827']
['0.453788', '194.665400', '14.593463', '6279', '58.293290']
['0.614247', '205.171231', '39.359540', '3365', '55.164469']
['0.643584', '124.183772', '25.944480', '2694', '82.440295']
['0.495005', '134.772414', '24.462635', '7552', '40.233815']
['0.569980', '200.072701', '7.517006', '5847', '46.938850']
['0.453636', '201.519798', '49.830374', '10586', '63.842090']
['0.575160', '116.301363', '46.931586', '205', '40.992744']
['0.581679', '180.833235', '33.900233', '3542', '64.801398']
['0.488567', '191.326376', '51.600081', '10240', '62.212307']
['0.535260', '131.124906', '26.331691', '5458', '42.681679']
['0.543984', '174.849585', '35.838337', '3440', '49.289592']
['0.659887', '130.380708', '7.826799', '5909', '73.901288']
['0.467950', '226.564242', '5.770777', '4472', '47.443046']
['0.515748', '176.534058', '7.578090', '6082', '54.110558']
['0.486032', '176.860000', '24.562065', '8519', '70.966652']
['0.643859', '225.928079', '33.941450', '1246', '80.323376']
['0.483534', '144.351367', '35.895943', '3243', '46.945747']
['0.530747', '243.722747', '8.913382', '5584', '33.060242']
['0.480121', '119.109470', '43.511598', '13', '60.867458']
['0.469607', '160.475248', '7.688284', '5731', '51.032947']
['0.511820', '244.732879', '7.800117', '4481', '32.886823']
['0.654259', '164.479157', '47.885301', '10521', '108.512117']
['0.598294', '146.098470', '37.070669', '3179', '57.674029']
['0.530374', '233.026548', '1.043685', '1713', '59.334137']
['0.597502', '202.856937', '1.288444', '1651', '61.451732']
['0.626430', '126.650945', '5.102618', '4117', '60.396193']
['0.652711', '124.394755', '3.781017', '4098', '76.723825']
['0.629456', '165.096246', '20.448399', '8623', '104.068351']
['0.547039', '127.994787', '41.716012', '400', '47.186188']
['0.541710', '138.281108', '15.511770', '6370', '31.409461']
['0.471318', '201.916551', '33.357077', '1409', '79.670202']
['0.581984', '119.788516', '34.997119', '330', '79.327365']
['0.616357', '178.725737', '24.677719', '8320', '95.233044']
['0.521121', '170.374579', '2.432437', '3864', '31.361516']
['0.501520', '176.656605', '-1.479654', '867', '48.310904']
['0.518531', '151.244388', '43.939196', '3102', '58.984816']
['0.570452', '130.376510', '39.680095', '345', '61.119831']
['0.623253', '256.548313', '40.023654', '12141', '53.414795']
['0.534431', '153.088343', '23.256057', '8122', '43.137740']
['0.485518', '164.501048', '0.181281', '1045', '38.063701']
['0.505881', '216.451911', '31.559149', '1446', '43.517273']
['0.485025', '121.499173', '38.537496', '329', '42.565026']
['0.524922', '196.993694', '-1.017764', '1673', '24.363879']
['0.610474', '163.577789', '5.818018', '4258', '73.040040']
['0.517401', '145.286828', '37.454955', '3553', '52.758398']
['0.550301', '192.124463', '31.404269', '7749', '90.289167']
['0.609571', '213.178904', '15.044488', '6466', '70.406303']
['0.626555', '248.576245', '45.780284', '9287', '42.079828']
['0.665986', '117.286950', '32.065157', '3003', '68.756447']
['0.658160', '158.786808', '1.708356', '3834', '91.164102']
['0.538491', '241.148752', '17.936008', '1549', '33.883240']
['0.656641', '175.130391', '19.198717', '8614', '81.782219']
['0.446886', '233.730181', '48.565766', '11039', '72.420682']
['0.658175', '172.105872', '27.459453', '8219', '87.225262']
['0.515256', '252.190507', '37.696560', '5530', '44.557903']
['0.602788', '119.937386', '48.881082', '48', '67.394955']
['0.602025', '211.757441', '0.222158', '1701', '68.087424']
['0.457257', '147.799898', '44.521166', '3136', '62.339868']
['0.502220', '221.211898', '25.377207', '7862', '42.300140']
['0.638877', '160.287359', '11.217043', '6617', '88.802663']
