Name,R.A.,Decl.,z,,,,,,,,,
RXC J1324.1+1358...,201.0497,13.9792,0.023,,,,,,,,,
RXC J1325.8+5919...,201.4572,59.3225,0.1515,,,,,,,,,
RXC J1326.2+0013...,201.5733,0.2251,0.0826,,,,,,,,,
RXC J1332.7+5032...,203.1796,50.5496,0.2799,,,,,,,,,
RXC J1332.6+5419...,203.1671,54.3205,0.1017,,,,,,,,,
RXC J1335.3+4059...,203.8257,40.997,0.2279,,,,,,,,,
RXC J1336.1+5912...,204.0255,59.2079,0.0701,,,,,,,,,
RXC J1339.5+1830...,204.8952,18.5122,0.114,,,,,,,,,
RXC J1341.8+2622...,205.474,26.372,0.0724,,,,,,,,,
RXC J1344.3+3906...,206.0762,39.112,0.2997,,,,,,,,,
RXC J1348.8+2635...,207.2207,26.5956,0.0622,,,,,,,,,
RXC J1349.0+4918...,207.2582,49.3047,0.1665,,,,,,,,,
RXC J1349.3+2806...,207.3402,28.1036,0.0748,,,,,,,,,
RXC J1351.7+4622...,207.9398,46.3668,0.0625,,,,,,,,,
RXC J1354.0+1455...,208.5095,14.9231,0.1251,,,,,,,,,
RXC J1354.6+7715...,208.6575,77.2596,0.3967,,,,,,,,,
RXC J1359.8+6231...,209.9711,62.5212,0.3259,,,,,,,,,
RXC J1400.2+7207...,210.0598,72.1257,0.2143,,,,,,,,,
RXC J1401.0+0252...,210.2595,2.8801,0.2528,,,,,,,,,
RXC J1411.4+5212...,212.8515,52.2106,0.4599,,,,,,,,,
RXC J1413.7+4339...,213.4313,43.6634,0.089,,,,,,,,,
RXC J1415.8+0015...,213.965,0.2589,0.1259,,,,,,,,,
RXC J1416.5+3045...,214.1354,30.7621,0.186,,,,,,,,,
RXC J1418.9+4903...,214.7473,49.0504,0.2806,,,,,,,,,
RXC J1421.5+4933...,215.3981,49.5519,0.0716,,,,,,,,,
RXC J1421.6+3717...,215.4226,37.2958,0.1813,,,,,,,,,
RXC J1423.1+2615...,215.7922,26.2556,0.0375,,,,,,,,,
RXC J1423.8+4015...,215.9685,40.2619,0.0822,,,,,,,,,
RXC J1425.3+6311...,216.3447,63.1872,0.1394,,,,,,,,,
RXC J1426.0+3749...,216.5068,37.8271,0.1712,,,,,,,,,
RXC J1428.4+5652...,217.1171,56.8829,0.1051,,,,,,,,,
RXC J1431.1+2538...,217.7794,25.6388,0.0908,,,,,,,,,
RXC J1440.6+0328...,220.1592,3.4765,0.0263,,,,,,,,,
RXC J1442.3+2218...,220.5768,22.3048,0.0901,,,,,,,,,
RXC J1447.4+0827...,221.8568,8.4637,0.1954,,,,,,,,,
RXC J1452.9+5802...,223.2337,58.0488,0.3179,,,,,,,,,
RXC J1452.9+1641...,223.2449,16.6998,0.0444,,,,,,,,,
RXC J1453.1+2153...,223.2798,21.8947,0.1186,,,,,,,,,
RXC J1454.4+1622...,223.6166,16.3704,0.0456,,,,,,,,,
RXC J1454.5+1838...,223.6309,18.642,0.0586,,,,,,,,,
RXC J1457.2+2220...,224.3163,22.3434,0.2579,,,,,,,,,
RXC J1501.2+0141...,225.3016,1.696,0.0065,,,,,,,,,
RXC J1501.3+4220...,225.3466,42.3464,0.2917,,,,,,,,,
RXC J1506.4+0136...,226.6241,1.6049,0.006,,,,,,,,,
RXC J1510.1+3330...,227.5489,33.5147,0.113,,,,,,,,,
RXC J1511.1+1802...,227.7761,18.0437,0.1161,,,,,,,,,
RXC J1512.6+3451...,228.1553,34.8601,0.1489,,,,,,,,,
RXC J1516.7+0701...,229.1834,7.0185,0.0353,,,,,,,,,
RXC J1518.7+0613...,229.6899,6.2312,0.1021,,,,,,,,,
RXC J1520.9+4840...,230.2271,48.6693,0.1076,,,,,,,,,
RXC J1521.8+0742...,230.4583,7.7088,0.0442,,,,,,,,,
RXC J1522.4+2742...,230.6106,27.7095,0.0723,,,,,,,,,
RXC J1523.0+0836...,230.7724,8.6025,0.0355,,,,,,,,,
RXC J1528.0+6956...,232.0156,69.9423,0.1136,,,,,,,,,
