['name', 'redshift', 'B-Band Mag', 'Strech', 'Color', 'dist mod', 'sample', 'Failed', '?', 'Position', 'Sn Type']
['2005ls', '0.0205', [16.12, 0.11], [0.5, 0.2], [0.36, 0.01], [34.62, 0.19], '0.128', '6', '', [2.905, 42.7167], 'MCG +07-7-1', 'Ia']
['2005lz', '0.0402', [17.59, 0.06], [-1.53, 0.2], [0.14, 0.01], [36.37, 0.17], '0.128', '6', '', [2.18, 34.9833], 'UGC 1666', 'Ia']
['2005mc', '0.0260', [17.23, 0.09], [-3.1, 0.27], [0.32, 0.02], [35.38, 0.18], '0.000', '6', '', [8.4517, 21.65], 'UGC 4414', 'Ia']
['2005ms', '0.0259', [16.11, 0.09], [0.18, 0.12], [0.01, 0.01], [35.42, 0.18], '0.034', '6', '', [8.82, 36.1333], 'UGC 4614', 'Ia']
['2006ac', '0.0239', [16.14, 0.09], [-1.08, 0.12], [0.12, 0.01], [35.03, 0.18], '0.000', '6', '', [12.695, 35.0667], 'NGC 4619', 'Ia']
['2006al', '0.0690', [18.35, 0.07], [-1.89, 0.44], [-0.05, 0.04], [37.57, 0.18], '0.000', '6', '', [10.6583, 5.1833], 'Anon.', 'Ia']
['2006an', '0.0651', [18.0, 0.04], [0.31, 0.21], [0.01, 0.01], [37.31, 0.16], '1.000', '6', '', [12.2433, 12.2333], 'Anon.', 'Ia']
['2006ar', '0.0229', [16.44, 0.1], [-0.76, 0.3], [0.19, 0.01], [35.2, 0.19], '0.090', '6', '', [10.625, 65.0167], 'MCG +11-13-36', 'Ia']
['2006az', '0.0315', [16.44, 0.07], [-1.65, 0.09], [-0.04, 0.01], [35.65, 0.17], '0.000', '6', '', [12.2033, 56.1833], 'NGC 4172', 'Ia']
['2006bq', '0.0215', [16.13, 0.1], [-1.63, 0.13], [0.13, 0.01], [34.93, 0.19], '0.000', '6', '', [18.6667, 39.9833], 'NGC 6685', 'Ia']
['2006br', '0.0255', [18.89, 0.09], [-1.59, 0.57], [0.93, 0.02], [35.72, 0.2], '0.128', '6', '', [13.5, 13.4167], 'NGC 5185', 'Ia']
['2006bt', '0.0325', [16.9, 0.07], [0.16, 0.1], [0.17, 0.01], [35.81, 0.17], '0.000', '6', '', [15.9417, 20.05], 'Anon.', 'Ia']
['2006bu', '0.0843', [18.15, 0.08], [2.43, 0.86], [-0.12, 0.04], [38.05, 0.2], '0.128', '6', '', [13.88, 5.3167], 'Anon.', 'Ia']
['2006bw', '0.0308', [17.41, 0.08], [-2.14, 0.27], [0.34, 0.03], [35.63, 0.18], '0.128', '6', '', [14.565, 3.8], 'Anon.', 'Ia']
['2006cc', '0.0327', [17.75, 0.07], [0.19, 0.09], [0.4, 0.01], [36.09, 0.17], '0.128', '6', '', [16.165, 43.1333], 'UGC 10244', 'Ia']
