494	506z	513z	516z	4	40.7	-9	6	49.3	1.30E+01
506z	513z			4	43.3	-9	49	22.4	8.00E+01
500z	514z			4	41.1	-21	22	21.7	1.30E+01
518z	521			4	50.4	-10	34	17.3	2.30E+02
533z	3323			5	4.4	-25	52	5.1	4.80E+01
3311	3317	3330z		5	7.4	-49	17	13.3	4.50E+01
3311	3317			5	4.4	-49	22	6.1	4.40E+02
3324	3327	3336z		5	14.1	-41	27	4.6	1.20E+01
3327	3336z			5	16	-40	2	4.6	1.00E+02
548z	3367z			5	46.1	-25	4	3.4	3.60E+03
3391z	3395z			6	25.8	-54	0	2.4	7.30E+03
559z	564z			6	44.9	69	49	6.8	8.60E+02
569z	634z			7	37.9	53	27	19.4	3.00E+01
571z	636z			7	44.1	72	27	3.4	6.50E+01
612z	628z			8	2.3	35	10	19.9	8.70E+01
599	618	621	629z	8	3.2	68	22	24.6	1.60E+01
618	629z			8	7.2	67	8	7.7	2.10E+02
616	626	646z	655z	8	12	47	43	28.1	1.30E+01
646z	655z			8	20.2	47	17	18.4	7.80E+01
616	626			8	3.9	48	9	0.5	7.90E+01
645	652z			8	20.2	56	28	27.8	5.20E+01
668z	672			8	25.1	33	48	12.6	6.80E+01
690z	692z	699z		8	38.6	27	58	34	2.60E+01
692z	699z			8	39.7	27	27	13.7	2.60E+02
695z	726z			8	46.8	31	53	9.6	1.70E+02
728	743	750z		9	1.8	10	38	12.6	3.60E+01
743	750z			9	5.2	10	51	12.6	2.00E+02
733z	784z			9	8.2	55	30	24.3	1.50E+01
684	762z	765z	787z	9	10.9	73	44	7.3	1.60E+01
788z									
762z	765z	787z	788z	9	19.1	73	56	7.3	5.40E+01
762z	765z	787z		9	17.7	74	24	6.7	3.70E+02
762z	765z			9	14.7	74	16	0.9	5.80E+03
754z	780z			9	11.2	-10	45	4.6	3.50E+02
769z	774			9	12.3	4	38	2.4	2.90E+02
795z	817	832		9	28	16	2	9.4	2.30E+01
817	832			9	31.3	16	50	2.2	3.30E+02
786z	809z	818z	848z	9	33.5	75	28	12.7	2.00E+01
786z	818z	848z		9	33.5	74	47	8.2	1.60E+02
818z	848z			9	38.3	74	39	0.9	8.50E+02
855	868z			9	41	-8	44	13	1.30E+02
859	882z			9	44.8	8	47	23.6	2.00E+01
